GEOID,All Degrees > Bachelors
210670001011,136
210670001012,199
210670001021,47
210670001022,359
210670002001,16
210670002002,64
210670002003,1
210670002004,85
210670003001,33
210670003002,0
210670003003,26
210670003004,41
210670004001,4
210670004002,16
210670005001,231
210670005002,167
210670005003,108
210670005004,108
210670006001,423
210670006002,587
210670006003,392
210670007001,82
210670007002,295
210670008011,113
210670008021,113
210670008022,57
210670009001,161
210670009002,13
210670009003,11
210670010001,8
210670010002,82
210670011001,23
210670011002,0
210670011003,22
210670011004,19
210670013001,4
210670013002,3
210670014001,0
210670014002,41
210670015001,33
210670015002,32
210670016001,53
210670016002,26
210670017001,137
210670017002,33
210670017003,31
210670018001,100
210670018002,54
210670019001,66
210670019002,106
210670020011,15
210670020012,0
210670020013,64
210670020021,21
210670020022,54
210670022001,64
210670022002,172
210670023021,601
210670023022,411
210670023023,429
210670023031,131
210670023032,51
210670023033,410
210670023034,235
210670023041,432
210670023042,236
210670024001,631
210670024002,137
210670024003,140
210670024004,138
210670025001,188
210670025002,67
210670025003,386
210670026001,264
210670026002,127
210670026003,113
210670026004,54
210670026005,73
210670027001,173
210670027002,246
210670027003,134
210670028001,299
210670028002,250
210670029001,72
210670029002,170
210670029003,84
210670030001,106
210670030002,94
210670030003,41
210670030004,104
210670030005,153
210670031011,7
210670031012,34
210670031021,29
210670031022,80
210670032011,67
210670032012,57
210670032021,55
210670032022,0
210670032023,0
210670032024,55
210670033001,97
210670033002,104
210670034021,162
210670034022,115
210670034023,95
210670034041,52
210670034042,214
210670034043,8
210670034051,140
210670034052,168
210670034053,25
210670034061,164
210670034062,168
210670034063,103
210670034071,178
210670034072,306
210670035011,98
210670035012,87
210670035031,265
210670035032,79
210670035041,174
210670035042,119
210670036001,148
210670036002,408
210670036003,328
210670037011,128
210670037012,63
210670037021,257
210670037022,96
210670037031,422
210670037032,245
210670037041,214
210670037042,274
210670037043,121
210670038021,84
210670038022,70
210670038023,90
210670038031,105
210670038032,167
210670038033,115
210670038041,81
210670038042,0
210670038043,48
210670039061,376
210670039062,346
210670039081,87
210670039082,592
210670039083,56
210670039091,297
210670039092,64
210670039101,58
210670039111,29
210670039112,136
210670039113,9
210670039121,132
210670039122,335
210670039131,451
210670039132,201
210670039133,551
210670039141,42
210670039142,197
210670039151,217
210670039152,245
210670039161,0
210670039162,154
210670039171,159
210670039172,11
210670039173,0
210670039181,214
210670039182,232
210670040011,160
210670040012,382
210670040013,43
210670040031,417
210670040032,166
210670040033,383
210670040051,394
210670040061,282
210670040071,113
210670040072,154
210670041031,6
210670041032,156
210670041041,168
210670041042,147
210670041043,25
210670041051,194
210670041052,273
210670041053,42
210670041061,480
210670041062,472
210670041071,340
210670041072,395
210670041073,364
210670042041,394
210670042042,106
210670042043,146
210670042051,62
210670042052,453
210670042053,489
210670042071,372
210670042072,497
210670042081,614
210670042082,988
210670042091,159
210670042092,170
210670042101,164
210670042102,598
