GEOID,"Public Transit, Walking, and Biking"
210670001011,186
210670001012,408
210670001021,87
210670001022,121
210670002001,172
210670002002,78
210670002003,171
210670002004,82
210670003001,33
210670003002,21
210670003003,105
210670003004,87
210670004001,62
210670004002,50
210670005001,26
210670005002,30
210670005003,69
210670005004,0
210670006001,49
210670006002,162
210670006003,46
210670007001,138
210670007002,115
210670008011,633
210670008021,600
210670008022,228
210670009001,104
210670009002,265
210670009003,141
210670010001,44
210670010002,50
210670011001,22
210670011002,7
210670011003,0
210670011004,41
210670013001,58
210670013002,124
210670014001,73
210670014002,68
210670015001,31
210670015002,43
210670016001,57
210670016002,53
210670017001,9
210670017002,10
210670017003,16
210670018001,167
210670018002,249
210670019001,193
210670019002,73
210670020011,264
210670020012,0
210670020013,20
210670020021,34
210670020022,6
210670022001,11
210670022002,43
210670023021,16
210670023022,17
210670023023,28
210670023031,157
210670023032,0
210670023033,0
210670023034,0
210670023041,20
210670023042,0
210670024001,386
210670024002,18
210670024003,30
210670024004,33
210670025001,19
210670025002,69
210670025003,290
210670026001,10
210670026002,40
210670026003,0
210670026004,48
210670026005,190
210670027001,23
210670027002,132
210670027003,21
210670028001,32
210670028002,176
210670029001,24
210670029002,0
210670029003,0
210670030001,14
210670030002,0
210670030003,0
210670030004,0
210670030005,10
210670031011,65
210670031012,0
210670031021,49
210670031022,28
210670032011,37
210670032012,6
210670032021,0
210670032022,71
210670032023,13
210670032024,0
210670033001,24
210670033002,0
210670034021,17
210670034022,23
210670034023,0
210670034041,35
210670034042,27
210670034043,66
210670034051,0
210670034052,85
210670034053,27
210670034061,0
210670034062,1
210670034063,0
210670034071,17
210670034072,0
210670035011,80
210670035012,29
210670035031,29
210670035032,8
210670035041,39
210670035042,25
210670036001,0
210670036002,0
210670036003,0
210670037011,35
210670037012,49
210670037021,0
210670037022,17
210670037031,8
210670037032,0
210670037041,0
210670037042,25
210670037043,10
210670038021,13
210670038022,12
210670038023,6
210670038031,0
210670038032,0
210670038033,0
210670038041,57
210670038042,39
210670038043,51
210670039061,0
210670039062,0
210670039081,23
210670039082,34
210670039083,0
210670039091,68
210670039092,6
210670039101,142
210670039111,0
210670039112,133
210670039113,0
210670039121,0
210670039122,0
210670039131,0
210670039132,0
210670039133,0
210670039141,49
210670039142,0
210670039151,21
210670039152,0
210670039161,5
210670039162,0
210670039171,7
210670039172,0
210670039173,0
210670039181,23
210670039182,7
210670040011,102
210670040012,0
210670040013,20
210670040031,23
210670040032,29
210670040033,0
210670040051,20
210670040061,7
210670040071,6
210670040072,49
210670041031,0
210670041032,37
210670041041,24
210670041042,43
210670041043,7
210670041051,27
210670041052,0
210670041053,0
210670041061,13
210670041062,0
210670041071,0
210670041072,0
210670041073,54
210670042041,108
210670042042,0
210670042043,0
210670042051,22
210670042052,27
210670042053,0
210670042071,9
210670042072,0
210670042081,0
210670042082,140
210670042091,30
210670042092,9
210670042101,46
210670042102,0
