GEOID,HD01_VD01
210670001011,1452
210670001012,1844
210670001021,588
210670001022,1316
210670002001,1050
210670002002,1194
210670002003,917
210670002004,558
210670003001,496
210670003002,873
210670003003,612
210670003004,1078
210670004001,782
210670004002,1009
210670005001,631
210670005002,1108
210670005003,722
210670005004,862
210670006001,1457
210670006002,1364
210670006003,1615
210670007001,1302
210670007002,1089
210670008011,3829
210670008021,3124
210670008022,1049
210670009001,1387
210670009002,3364
210670009003,1468
210670010001,754
210670010002,822
210670011001,1393
210670011002,1339
210670011003,1148
210670011004,1077
210670013001,862
210670013002,1470
210670014001,1249
210670014002,1202
210670015001,1059
210670015002,1087
210670016001,1673
210670016002,888
210670017001,553
210670017002,698
210670017003,804
210670018001,1400
210670018002,1527
210670019001,3309
210670019002,1683
210670020011,1947
210670020012,844
210670020013,2397
210670020021,941
210670020022,1524
210670022001,717
210670022002,1018
210670023021,1816
210670023022,1420
210670023023,2137
210670023031,1331
210670023032,833
210670023033,1376
210670023034,804
210670023041,1514
210670023042,652
210670024001,1947
210670024002,683
210670024003,818
210670024004,709
210670025001,857
210670025002,922
210670025003,2007
210670026001,1253
210670026002,886
210670026003,1536
210670026004,704
210670026005,681
210670027001,942
210670027002,1763
210670027003,1225
210670028001,2232
210670028002,1467
210670029001,982
210670029002,1482
210670029003,1751
210670030001,1173
210670030002,1335
210670030003,788
210670030004,1248
210670030005,1673
210670031011,1470
210670031012,1341
210670031021,1312
210670031022,1045
210670032011,1263
210670032012,562
210670032021,2043
210670032022,1435
210670032023,924
210670032024,1705
210670033001,1392
210670033002,1259
210670034021,2296
210670034022,985
210670034023,1837
210670034041,2022
210670034042,1252
210670034043,939
210670034051,1784
210670034052,2546
210670034053,1614
210670034061,1496
210670034062,2279
210670034063,2966
210670034071,1667
210670034072,1889
210670035011,1692
210670035012,2306
210670035031,1686
210670035032,719
210670035041,1205
210670035042,2495
210670036001,896
210670036002,1774
210670036003,1761
210670037011,948
210670037012,2821
210670037021,2005
210670037022,2476
210670037031,3233
210670037032,1793
210670037041,1800
210670037042,1737
210670037043,821
210670038021,808
210670038022,470
210670038023,782
210670038031,533
210670038032,2428
210670038033,440
210670038041,2825
210670038042,1154
210670038043,1983
210670039061,1875
210670039062,2169
210670039081,1184
210670039082,2587
210670039083,462
210670039091,2821
210670039092,549
210670039101,1978
210670039111,1023
210670039112,1677
210670039113,845
210670039121,2723
210670039122,1802
210670039131,1860
210670039132,612
210670039133,4005
210670039141,885
210670039142,1190
210670039151,1421
210670039152,1871
210670039161,10
210670039162,588
210670039171,1217
210670039172,28
210670039173,0
210670039181,933
210670039182,1880
210670040011,2269
210670040012,1378
210670040013,2088
210670040031,1699
210670040032,1600
210670040033,2010
210670040051,1793
210670040061,1217
210670040071,871
210670040072,1036
210670041031,241
210670041032,1356
210670041041,1465
210670041042,2132
210670041043,876
210670041051,1669
210670041052,2369
210670041053,810
210670041061,1978
210670041062,2233
210670041071,1289
210670041072,1879
210670041073,2144
210670042041,2089
210670042042,1757
210670042043,1860
210670042051,1367
210670042052,2293
210670042053,2600
210670042071,1933
210670042072,1935
210670042081,2878
210670042082,4499
210670042091,1879
210670042092,2300
210670042101,1546
210670042102,3387
